epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,459.891,1.24598,0.99688,1.26053,0.50838,0.47797,0.47799,0.29946,1.35694,1.8047,1.38542,0.000312497,0.000312497,0.000312497
43,470.565,1.24595,1.00947,1.26835,0.49916,0.48528,0.4693,0.28918,1.34202,1.78788,1.37275,0.000307289,0.000307289,0.000307289
44,481.665,1.23562,1.00481,1.25093,0.50276,0.46637,0.47115,0.29311,1.33826,1.76829,1.34295,0.000302082,0.000302082,0.000302082
45,492.287,1.23772,0.9968,1.24721,0.48468,0.4974,0.47252,0.28978,1.34711,1.83014,1.35168,0.000296874,0.000296874,0.000296874
46,502.955,1.23649,1.00293,1.24608,0.50108,0.50604,0.47229,0.29441,1.31026,1.73771,1.30553,0.000291667,0.000291667,0.000291667
47,513.852,1.22667,0.99853,1.23245,0.49932,0.48907,0.47985,0.29894,1.32294,1.85748,1.33891,0.00028646,0.00028646,0.00028646
48,524.765,1.22715,0.97568,1.23898,0.51427,0.4957,0.4901,0.30895,1.32084,1.83884,1.3531,0.000281252,0.000281252,0.000281252
49,535.579,1.22514,0.96521,1.24568,0.50961,0.48956,0.48736,0.30776,1.35187,1.79412,1.38618,0.000276045,0.000276045,0.000276045
50,546.716,1.22214,0.99123,1.25626,0.53571,0.45491,0.48324,0.30586,1.32885,1.75356,1.35753,0.000270837,0.000270837,0.000270837
51,557.217,1.22531,0.98121,1.25641,0.48657,0.51642,0.47353,0.29111,1.32676,1.76188,1.31842,0.00026563,0.00026563,0.00026563
52,568.028,1.21202,0.94282,1.23499,0.49768,0.45903,0.46731,0.29429,1.3282,1.80011,1.34438,0.000260423,0.000260423,0.000260423
53,578.87,1.2054,0.93468,1.22734,0.48989,0.50503,0.47001,0.28968,1.35075,1.80712,1.37696,0.000255215,0.000255215,0.000255215
54,589.944,1.20542,0.92191,1.23461,0.48953,0.47735,0.46016,0.28147,1.35837,1.85778,1.4226,0.000250008,0.000250008,0.000250008
55,600.529,1.1857,0.94487,1.22355,0.48341,0.52206,0.47299,0.29379,1.35266,1.80105,1.38411,0.0002448,0.0002448,0.0002448
56,611.401,1.17897,0.89557,1.22273,0.50939,0.48516,0.48514,0.3015,1.34098,1.82011,1.35254,0.000239593,0.000239593,0.000239593
57,622.059,1.19448,0.88795,1.23412,0.4857,0.51772,0.48271,0.30391,1.32342,1.76723,1.32634,0.000234386,0.000234386,0.000234386
58,633.112,1.1907,0.92021,1.23359,0.56567,0.52483,0.47568,0.29694,1.33718,1.82443,1.38118,0.000229178,0.000229178,0.000229178
59,643.908,1.16872,0.89087,1.22018,0.50141,0.47188,0.46754,0.28612,1.34367,1.82166,1.36207,0.000223971,0.000223971,0.000223971
60,654.66,1.17797,0.90141,1.20632,0.49264,0.50243,0.47612,0.29094,1.36645,1.83805,1.41443,0.000218763,0.000218763,0.000218763
61,665.469,1.1732,0.90704,1.21722,0.49888,0.50818,0.47304,0.28942,1.35883,1.81333,1.37199,0.000213556,0.000213556,0.000213556
62,676.609,1.18072,0.89574,1.21563,0.50639,0.48953,0.47382,0.29711,1.3463,1.78458,1.36436,0.000208349,0.000208349,0.000208349
63,687.452,1.16323,0.89514,1.22208,0.51168,0.49189,0.47154,0.29241,1.35755,1.77685,1.37563,0.000203141,0.000203141,0.000203141
64,698.406,1.16737,0.88957,1.22144,0.50597,0.506,0.48013,0.29765,1.36267,1.84993,1.40073,0.000197934,0.000197934,0.000197934
65,709.123,1.14352,0.86189,1.20957,0.49636,0.51285,0.47737,0.29226,1.36493,1.86703,1.41127,0.000192726,0.000192726,0.000192726
66,719.737,1.15804,0.85673,1.19106,0.51341,0.50454,0.4741,0.29151,1.3499,1.86485,1.38207,0.000187519,0.000187519,0.000187519
67,730.408,1.14373,0.85275,1.2018,0.47813,0.50367,0.47216,0.295,1.35522,1.82317,1.38816,0.000182312,0.000182312,0.000182312
68,741.041,1.16375,0.86125,1.20415,0.4849,0.49942,0.47001,0.2935,1.38446,1.82547,1.41927,0.000177104,0.000177104,0.000177104
69,751.614,1.13484,0.83468,1.19802,0.49501,0.49236,0.47175,0.29166,1.36999,1.87461,1.3922,0.000171897,0.000171897,0.000171897
70,762.33,1.14127,0.84004,1.18555,0.4963,0.52172,0.47823,0.2888,1.36285,1.82381,1.36913,0.000166689,0.000166689,0.000166689
71,772.626,1.1535,0.86104,1.19826,0.5125,0.50681,0.48172,0.29525,1.37336,1.83951,1.39911,0.000161482,0.000161482,0.000161482
72,783.542,1.14642,0.84169,1.19112,0.47914,0.50327,0.48682,0.30418,1.39375,1.82362,1.42526,0.000156275,0.000156275,0.000156275
73,794.341,1.12475,0.8456,1.19327,0.50307,0.49636,0.48147,0.29874,1.3815,1.8392,1.4252,0.000151067,0.000151067,0.000151067
74,805.057,1.14219,0.83178,1.20629,0.48914,0.51279,0.4862,0.30292,1.37986,1.78299,1.40698,0.00014586,0.00014586,0.00014586
75,816.047,1.12457,0.82111,1.17656,0.49931,0.5062,0.48507,0.29949,1.36519,1.84217,1.3965,0.000140652,0.000140652,0.000140652
76,826.534,1.12222,0.81704,1.17545,0.48281,0.52503,0.46793,0.28457,1.37252,1.88231,1.40104,0.000135445,0.000135445,0.000135445
77,837.115,1.1266,0.83725,1.18132,0.50599,0.49234,0.47342,0.29396,1.37831,1.78737,1.38454,0.000130238,0.000130238,0.000130238
78,847.953,1.12689,0.81286,1.1864,0.4725,0.52243,0.47639,0.29226,1.37517,1.77847,1.39003,0.00012503,0.00012503,0.00012503
79,858.306,1.13154,0.83769,1.19076,0.50749,0.50152,0.48871,0.29762,1.37899,1.83981,1.40912,0.000119823,0.000119823,0.000119823
80,869.226,1.12922,0.82859,1.18597,0.49579,0.52078,0.48314,0.29454,1.38638,1.8461,1.41004,0.000114615,0.000114615,0.000114615
81,880.115,1.11892,0.8207,1.17352,0.50733,0.5065,0.48583,0.29769,1.3777,1.84512,1.41741,0.000109408,0.000109408,0.000109408
82,890.948,1.0996,0.82068,1.18732,0.51745,0.47914,0.48274,0.299,1.39025,1.83734,1.42184,0.000104201,0.000104201,0.000104201
83,901.632,1.09775,0.79942,1.18227,0.51302,0.47633,0.48698,0.3052,1.37396,1.79976,1.40351,9.89932e-05,9.89932e-05,9.89932e-05
84,912.218,1.11023,0.81108,1.17665,0.48218,0.50804,0.47598,0.29348,1.37677,1.82518,1.40692,9.37858e-05,9.37858e-05,9.37858e-05
85,922.936,1.09877,0.8158,1.17477,0.48253,0.51437,0.47519,0.29328,1.39132,1.81914,1.42419,8.85784e-05,8.85784e-05,8.85784e-05
86,933.901,1.08987,0.80193,1.1687,0.5173,0.47617,0.47245,0.29198,1.38398,1.85364,1.41931,8.3371e-05,8.3371e-05,8.3371e-05
87,944.632,1.10146,0.80631,1.17272,0.49518,0.51199,0.47372,0.29041,1.38351,1.83546,1.40837,7.81636e-05,7.81636e-05,7.81636e-05
88,955.804,1.10486,0.80118,1.17507,0.50051,0.50438,0.4781,0.29453,1.3858,1.84571,1.40437,7.29562e-05,7.29562e-05,7.29562e-05
89,966.806,1.09084,0.7902,1.16678,0.51705,0.48219,0.4834,0.29704,1.39777,1.85334,1.4147,6.77488e-05,6.77488e-05,6.77488e-05
90,977.447,1.07415,0.79423,1.15638,0.50608,0.49851,0.48253,0.2997,1.38747,1.82638,1.40653,6.25414e-05,6.25414e-05,6.25414e-05
91,1003.75,1.08923,0.79778,1.17433,0.50274,0.4939,0.47868,0.29678,1.37456,1.814,1.38605,5.7334e-05,5.7334e-05,5.7334e-05
92,1014.71,1.05375,0.73829,1.15795,0.49816,0.4921,0.48138,0.29473,1.36142,1.78161,1.37046,5.21266e-05,5.21266e-05,5.21266e-05
93,1025.26,1.04847,0.72733,1.16402,0.49481,0.50418,0.48532,0.29367,1.37229,1.77161,1.3795,4.69192e-05,4.69192e-05,4.69192e-05
94,1035.85,1.04666,0.72122,1.15982,0.50351,0.50095,0.48259,0.29075,1.38402,1.78999,1.38468,4.17118e-05,4.17118e-05,4.17118e-05
95,1046.25,1.03346,0.71466,1.14976,0.51127,0.49139,0.48436,0.29125,1.38943,1.78795,1.38641,3.65044e-05,3.65044e-05,3.65044e-05
96,1056.96,1.03639,0.71079,1.14939,0.49814,0.5013,0.48442,0.2953,1.38974,1.78997,1.39214,3.1297e-05,3.1297e-05,3.1297e-05
97,1067.37,1.03109,0.71474,1.15204,0.50646,0.48802,0.48368,0.29472,1.38594,1.77909,1.38665,2.60896e-05,2.60896e-05,2.60896e-05
98,1077.81,1.02679,0.70164,1.14953,0.51849,0.48153,0.48517,0.29505,1.38792,1.79286,1.3903,2.08822e-05,2.08822e-05,2.08822e-05
99,1088.22,1.03344,0.70971,1.14858,0.52131,0.46801,0.48389,0.29456,1.39187,1.80267,1.39554,1.56748e-05,1.56748e-05,1.56748e-05
100,1098.71,1.02762,0.71274,1.14385,0.52172,0.47067,0.48444,0.29307,1.39253,1.8047,1.39569,1.04674e-05,1.04674e-05,1.04674e-05
